timestamp,COavg,CH4avg,C2H5OHavg,H2avg,NH3avg,NO2avg,COmin,CH4min,C2H5OHmin,H2min,NH3min,NO2min,COmax,CH4max,C2H5OHmax,H2max,NH3max,NO2max
4960,730.43,25000.00,310.22,576.24,447.22,0.00,728.84,25000.00,309.09,573.77,446.79,0.00,732.01,25000.00,311.34,578.71,447.64,0.00
4970,735.19,25000.00,313.60,583.66,448.50,0.00,735.19,25000.00,313.60,583.66,448.50,0.00,735.19,25000.00,313.60,583.66,448.50,0.00
4980,729.63,25000.00,309.65,575.00,447.00,0.00,725.67,25000.00,306.83,568.83,445.93,0.00,732.01,25000.00,311.34,578.71,447.64,0.00
4990,719.32,25000.00,302.32,558.94,444.22,0.00,719.32,25000.00,302.32,558.94,444.22,0.00,719.32,25000.00,302.32,558.94,444.22,0.00
5000,726.46,25000.00,307.40,570.06,446.14,0.00,725.67,25000.00,306.83,568.83,445.93,0.00,728.84,25000.00,309.09,573.77,446.79,0.00
5010,735.19,25000.00,313.60,583.66,448.50,0.00,735.19,25000.00,313.60,583.66,448.50,0.00,735.19,25000.00,313.60,583.66,448.50,0.00
5020,733.60,25000.00,312.47,581.18,448.07,0.00,732.01,25000.00,311.34,578.71,447.64,0.00,735.19,25000.00,313.60,583.66,448.50,0.00
5030,731.22,25000.00,310.78,577.48,447.64,0.00,728.84,25000.00,309.09,573.77,447.64,0.00,732.01,25000.00,311.34,578.71,447.64,0.00
5040,734.39,25000.00,313.03,582.42,448.29,0.00,732.01,25000.00,311.34,578.71,447.64,0.00,735.19,25000.00,313.60,583.66,448.50,0.00
5050,732.81,25000.00,311.91,579.95,447.86,0.00,732.01,25000.00,311.34,578.71,447.64,0.00,735.19,25000.00,313.60,583.66,448.50,0.00
5060,736.77,25000.00,314.73,586.13,448.93,0.00,735.19,25000.00,313.60,583.66,448.50,0.00,738.36,25000.00,315.85,588.60,449.36,0.00
5070,738.36,25000.00,315.85,588.60,449.36,0.00,738.36,25000.00,315.85,588.60,449.36,0.00,738.36,25000.00,315.85,588.60,449.36,0.00
5080,738.36,25000.00,315.85,588.60,449.36,0.00,738.36,25000.00,315.85,588.60,449.36,0.00,738.36,25000.00,315.85,588.60,449.36,0.00
5090,735.19,25000.00,313.60,583.66,448.50,0.00,735.19,25000.00,313.60,583.66,448.50,0.00,735.19,25000.00,313.60,583.66,448.50,0.00
5100,737.57,25000.00,315.29,587.36,449.14,0.00,735.19,25000.00,313.60,583.66,448.50,0.00,738.36,25000.00,315.85,588.60,449.36,0.00
5110,741.53,25000.00,318.11,593.54,450.21,0.00,741.53,25000.00,318.11,593.54,450.21,0.00,741.53,25000.00,318.11,593.54,450.21,0.00
5120,741.53,25000.00,318.11,593.54,450.21,0.00,741.53,25000.00,318.11,593.54,450.21,0.00,741.53,25000.00,318.11,593.54,450.21,0.00
5130,739.15,25000.00,316.42,589.84,449.57,0.00,738.36,25000.00,315.85,588.60,449.36,0.00,741.53,25000.00,318.11,593.54,450.21,0.00
5140,741.53,25000.00,318.11,593.54,450.21,0.00,741.53,25000.00,318.11,593.54,450.21,0.00,741.53,25000.00,318.11,593.54,450.21,0.00
5150,741.53,25000.00,318.11,593.54,450.21,0.00,741.53,25000.00,318.11,593.54,450.21,0.00,741.53,25000.00,318.11,593.54,450.21,0.00
5160,738.36,25000.00,315.85,588.60,449.36,0.00,738.36,25000.00,315.85,588.60,449.36,0.00,738.36,25000.00,315.85,588.60,449.36,0.00
5170,740.74,25000.00,317.54,592.31,450.00,0.00,738.36,25000.00,315.85,588.60,449.36,0.00,741.53,25000.00,318.11,593.54,450.21,0.00
5180,742.33,25000.00,318.67,594.78,450.43,0.00,741.53,25000.00,318.11,593.54,450.21,0.00,744.71,25000.00,320.36,598.49,451.07,0.00
5190,737.57,25000.00,315.29,587.36,449.14,0.00,735.19,25000.00,313.60,583.66,448.50,0.00,738.36,25000.00,315.85,588.60,449.36,0.00
5200,738.36,25000.00,315.85,588.60,449.36,0.00,738.36,25000.00,315.85,588.60,449.36,0.00,738.36,25000.00,315.85,588.60,449.36,0.00
5210,735.98,25000.00,314.16,584.89,448.71,0.00,735.19,25000.00,313.60,583.66,448.50,0.00,738.36,25000.00,315.85,588.60,449.36,0.00
5220,735.19,25000.00,313.60,583.66,448.50,0.00,735.19,25000.00,313.60,583.66,448.50,0.00,735.19,25000.00,313.60,583.66,448.50,0.00
5230,728.84,25000.00,309.09,573.77,446.79,0.00,728.84,25000.00,309.09,573.77,446.79,0.00,728.84,25000.00,309.09,573.77,446.79,0.00
5240,736.77,25000.00,314.73,586.13,448.93,0.00,735.19,25000.00,313.60,583.66,448.50,0.00,738.36,25000.00,315.85,588.60,449.36,0.00
5250,735.98,25000.00,314.16,584.89,448.71,0.00,735.19,25000.00,313.60,583.66,448.50,0.00,738.36,25000.00,315.85,588.60,449.36,0.00
5260,735.19,25000.00,313.60,583.66,448.50,0.00,735.19,25000.00,313.60,583.66,448.50,0.00,735.19,25000.00,313.60,583.66,448.50,0.00
5270,730.43,25000.00,310.22,576.24,447.22,0.00,728.84,25000.00,309.09,573.77,446.79,0.00,732.01,25000.00,311.34,578.71,447.64,0.00
5280,304.36,21054.99,46.30,61.87,332.18,0.00,157.57,18470.33,24.96,247.49,292.54,0.00,519.38,24841.18,160.26,247.49,390.23,0.00
5290,605.86,25000.00,221.71,382.20,413.58,0.00,592.37,25000.00,212.12,361.19,409.94,0.00,617.76,25000.00,230.16,400.74,416.80,0.00
4630,728.05,25000.00,308.52,572.53,446.57,0.00,725.67,25000.00,306.83,568.83,445.93,0.00,728.84,25000.00,309.09,573.77,446.79,0.00
4640,732.01,25000.00,311.34,578.71,447.64,0.00,732.01,25000.00,311.34,578.71,447.64,0.00,732.01,25000.00,311.34,578.71,447.64,0.00
4650,737.57,25000.00,315.29,587.36,449.14,0.00,735.19,25000.00,313.60,583.66,448.50,0.00,738.36,25000.00,315.85,588.60,449.36,0.00
4660,738.36,25000.00,315.85,588.60,449.36,0.00,738.36,25000.00,315.85,588.60,449.36,0.00,738.36,25000.00,315.85,588.60,449.36,0.00
